Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 1490703
584315000 >> iteration no: 0
994990000 >> iteration no: 1
1405665000 >> iteration no: 2
1816315000 >> iteration no: 3
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
2071040000 >> Error detected...
2071740000 >> Error detected...
2072165000 >> Error detected...
2073740000 >> Error detected...
2074540000 >> Error detected...
2075990000 >> Error detected...
2076640000 >> Error detected...
2077090000 >> Error detected...
2077790000 >> Error detected...
2078215000 >> Error detected...
2079790000 >> Error detected...
2080415000 >> Error detected...
2082040000 >> Error detected...
2082690000 >> Error detected...
2083140000 >> Error detected...
2083840000 >> Error detected...
2084265000 >> Error detected...
2085840000 >> Error detected...
2086465000 >> Error detected...
2088090000 >> Error detected...
2088740000 >> Error detected...
2089190000 >> Error detected...
2089890000 >> Error detected...
2090315000 >> Error detected...
2091890000 >> Error detected...
2092515000 >> Error detected...
2094140000 >> Error detected...
2094790000 >> Error detected...
2095240000 >> Error detected...
2095940000 >> Error detected...
2096365000 >> Error detected...
2097940000 >> Error detected...
2098565000 >> Error detected...
2100190000 >> Error detected...
2100840000 >> Error detected...
2101290000 >> Error detected...
2101990000 >> Error detected...
2102415000 >> Error detected...
2103990000 >> Error detected...
2104615000 >> Error detected...
2106065000 >> Error detected...
2106890000 >> Error detected...
2107340000 >> Error detected...
2108040000 >> Error detected...
2108465000 >> Error detected...
2110040000 >> Error detected...
2110665000 >> Error detected...
2112115000 >> Error detected...
2112940000 >> Error detected...
2113390000 >> Error detected...
2114090000 >> Error detected...
2114515000 >> Error detected...
2116090000 >> Error detected...
2116715000 >> Error detected...
2118165000 >> Error detected...
2118815000 >> Error detected...
2119440000 >> Error detected...
2120140000 >> Error detected...
2120565000 >> Error detected...
2122140000 >> Error detected...
2122765000 >> Error detected...
2124215000 >> Error detected...
2124865000 >> Error detected...
2125490000 >> Error detected...
2126190000 >> Error detected...
2126615000 >> Error detected...
2128190000 >> Error detected...
2128815000 >> Error detected...
2130265000 >> Error detected...
2130915000 >> Error detected...
2131365000 >> Error detected...
2132240000 >> Error detected...
2132665000 >> Error detected...
2134240000 >> Error detected...
2134865000 >> Error detected...
2136315000 >> Error detected...
2136965000 >> Error detected...
2137415000 >> Error detected...
2138115000 >> Error detected...
2138715000 >> Error detected...
2140290000 >> Error detected...
2140915000 >> Error detected...
2142365000 >> Error detected...
2143015000 >> Error detected...
2143465000 >> Error detected...
2144165000 >> Error detected...
2144765000 >> Error detected...
2146340000 >> Error detected...
2146965000 >> Error detected...
2148415000 >> Error detected...
2149065000 >> Error detected...
2149515000 >> Error detected...
2150215000 >> Error detected...
2150640000 >> Error detected...
2152365000 >> Error detected...
2152990000 >> Error detected...
2154440000 >> Error detected...
2155090000 >> Error detected...
2155540000 >> Error detected...
2156240000 >> Error detected...
2156665000 >> Error detected...
2158415000 >> Error detected...
2159040000 >> Error detected...
2160490000 >> Error detected...
2161140000 >> Error detected...
2161590000 >> Error detected...
2162290000 >> Error detected...
2162715000 >> Error detected...
2164465000 >> Error detected...
2165090000 >> Error detected...
2166540000 >> Error detected...
2167190000 >> Error detected...
2167640000 >> Error detected...
2168340000 >> Error detected...
2168765000 >> Error detected...
2170515000 >> Error detected...
2171140000 >> Error detected...
2172590000 >> Error detected...
2173240000 >> Error detected...
2173690000 >> Error detected...
2174390000 >> Error detected...
2174815000 >> Error detected...
2176390000 >> Error detected...
2177165000 >> Error detected...
2178615000 >> Error detected...
2179265000 >> Error detected...
2179715000 >> Error detected...
2180415000 >> Error detected...
2180840000 >> Error detected...
2182415000 >> Error detected...
2183040000 >> Error detected...
2184665000 >> Error detected...
2185315000 >> Error detected...
2185765000 >> Error detected...
2186465000 >> Error detected...
2186890000 >> Error detected...
2188465000 >> Error detected...
2189090000 >> Error detected...
2190715000 >> Error detected...
2191365000 >> Error detected...
2191815000 >> Error detected...
2192515000 >> Error detected...
2192940000 >> Error detected...
2194515000 >> Error detected...
2195140000 >> Error detected...
2196765000 >> Error detected...
2197415000 >> Error detected...
2197865000 >> Error detected...
