Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 1753989
584315000 >> iteration no: 0
994990000 >> iteration no: 1
1405665000 >> iteration no: 2
1816315000 >> iteration no: 3
2226965000 >> iteration no: 4
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
2334140000 >> Error detected...
2335590000 >> Error detected...
2336240000 >> Error detected...
2336865000 >> Error detected...
2337565000 >> Error detected...
2337990000 >> Error detected...
2339565000 >> Error detected...
2340190000 >> Error detected...
2341640000 >> Error detected...
2342290000 >> Error detected...
2342740000 >> Error detected...
2343615000 >> Error detected...
2344040000 >> Error detected...
2345615000 >> Error detected...
2346240000 >> Error detected...
2347690000 >> Error detected...
2348340000 >> Error detected...
2348790000 >> Error detected...
2349665000 >> Error detected...
2350090000 >> Error detected...
2351665000 >> Error detected...
2352290000 >> Error detected...
2353740000 >> Error detected...
2354390000 >> Error detected...
2354840000 >> Error detected...
2355540000 >> Error detected...
2356140000 >> Error detected...
2357715000 >> Error detected...
2358340000 >> Error detected...
2359790000 >> Error detected...
2360440000 >> Error detected...
2360890000 >> Error detected...
2361590000 >> Error detected...
2362015000 >> Error detected...
2363765000 >> Error detected...
2364390000 >> Error detected...
2365840000 >> Error detected...
2366490000 >> Error detected...
2366940000 >> Error detected...
2367640000 >> Error detected...
2368065000 >> Error detected...
2369790000 >> Error detected...
2370415000 >> Error detected...
2371865000 >> Error detected...
2372515000 >> Error detected...
2372965000 >> Error detected...
2373665000 >> Error detected...
2374090000 >> Error detected...
2375840000 >> Error detected...
2376465000 >> Error detected...
2377915000 >> Error detected...
2378565000 >> Error detected...
2379015000 >> Error detected...
2379715000 >> Error detected...
2380140000 >> Error detected...
2381890000 >> Error detected...
2382515000 >> Error detected...
2383965000 >> Error detected...
2384615000 >> Error detected...
2385065000 >> Error detected...
2385765000 >> Error detected...
2386190000 >> Error detected...
2387765000 >> Error detected...
2388540000 >> Error detected...
2389990000 >> Error detected...
2390640000 >> Error detected...
2391090000 >> Error detected...
2391790000 >> Error detected...
2392215000 >> Error detected...
2393790000 >> Error detected...
2394590000 >> Error detected...
2396040000 >> Error detected...
2396690000 >> Error detected...
2397140000 >> Error detected...
2397840000 >> Error detected...
2398265000 >> Error detected...
2399840000 >> Error detected...
2400465000 >> Error detected...
2402090000 >> Error detected...
2402740000 >> Error detected...
2403190000 >> Error detected...
2403890000 >> Error detected...
2404315000 >> Error detected...
2405890000 >> Error detected...
2406515000 >> Error detected...
2408140000 >> Error detected...
2408790000 >> Error detected...
2409240000 >> Error detected...
2409940000 >> Error detected...
2410365000 >> Error detected...
2411940000 >> Error detected...
2412565000 >> Error detected...
2414190000 >> Error detected...
2414840000 >> Error detected...
2415290000 >> Error detected...
2415990000 >> Error detected...
2416415000 >> Error detected...
2417990000 >> Error detected...
2418615000 >> Error detected...
2420240000 >> Error detected...
2420890000 >> Error detected...
2421340000 >> Error detected...
2422040000 >> Error detected...
2422465000 >> Error detected...
2424040000 >> Error detected...
2424665000 >> Error detected...
2426115000 >> Error detected...
2426940000 >> Error detected...
2427390000 >> Error detected...
2428090000 >> Error detected...
2428515000 >> Error detected...
2430090000 >> Error detected...
2430715000 >> Error detected...
2432165000 >> Error detected...
2432990000 >> Error detected...
2433440000 >> Error detected...
2434140000 >> Error detected...
2434565000 >> Error detected...
2436140000 >> Error detected...
2436765000 >> Error detected...
2438215000 >> Error detected...
2438865000 >> Error detected...
2439490000 >> Error detected...
2440190000 >> Error detected...
2440615000 >> Error detected...
2442190000 >> Error detected...
2442815000 >> Error detected...
2444265000 >> Error detected...
2444915000 >> Error detected...
2445540000 >> Error detected...
2446240000 >> Error detected...
2446665000 >> Error detected...
2448240000 >> Error detected...
2448865000 >> Error detected...
2450315000 >> Error detected...
2450965000 >> Error detected...
2451415000 >> Error detected...
2452290000 >> Error detected...
2452715000 >> Error detected...
2454290000 >> Error detected...
2454915000 >> Error detected...
2456365000 >> Error detected...
2457015000 >> Error detected...
2457465000 >> Error detected...
2458165000 >> Error detected...
2458765000 >> Error detected...
2460340000 >> Error detected...
