Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 71833
584315000 >> iteration no: 0
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
651765000 >> Error detected...
652465000 >> Error detected...
652890000 >> Error detected...
654615000 >> Error detected...
655240000 >> Error detected...
656690000 >> Error detected...
657340000 >> Error detected...
657790000 >> Error detected...
658490000 >> Error detected...
658915000 >> Error detected...
660665000 >> Error detected...
661290000 >> Error detected...
662740000 >> Error detected...
663390000 >> Error detected...
663840000 >> Error detected...
664540000 >> Error detected...
664965000 >> Error detected...
666715000 >> Error detected...
667340000 >> Error detected...
668790000 >> Error detected...
669440000 >> Error detected...
669890000 >> Error detected...
670590000 >> Error detected...
671015000 >> Error detected...
672590000 >> Error detected...
673365000 >> Error detected...
674815000 >> Error detected...
675465000 >> Error detected...
675915000 >> Error detected...
676615000 >> Error detected...
677040000 >> Error detected...
678615000 >> Error detected...
679415000 >> Error detected...
680865000 >> Error detected...
681515000 >> Error detected...
681965000 >> Error detected...
682665000 >> Error detected...
683090000 >> Error detected...
684665000 >> Error detected...
685290000 >> Error detected...
686915000 >> Error detected...
687565000 >> Error detected...
688015000 >> Error detected...
688715000 >> Error detected...
689140000 >> Error detected...
690715000 >> Error detected...
691340000 >> Error detected...
692965000 >> Error detected...
693615000 >> Error detected...
694065000 >> Error detected...
694765000 >> Error detected...
695190000 >> Error detected...
696765000 >> Error detected...
697390000 >> Error detected...
699015000 >> Error detected...
699665000 >> Error detected...
700115000 >> Error detected...
700815000 >> Error detected...
701240000 >> Error detected...
702815000 >> Error detected...
703440000 >> Error detected...
705065000 >> Error detected...
705715000 >> Error detected...
706165000 >> Error detected...
706865000 >> Error detected...
707290000 >> Error detected...
708865000 >> Error detected...
709490000 >> Error detected...
710940000 >> Error detected...
711765000 >> Error detected...
712215000 >> Error detected...
712915000 >> Error detected...
713340000 >> Error detected...
714915000 >> Error detected...
715540000 >> Error detected...
716990000 >> Error detected...
717815000 >> Error detected...
718265000 >> Error detected...
718965000 >> Error detected...
719390000 >> Error detected...
720965000 >> Error detected...
721590000 >> Error detected...
723040000 >> Error detected...
723690000 >> Error detected...
724315000 >> Error detected...
725015000 >> Error detected...
725440000 >> Error detected...
727015000 >> Error detected...
727640000 >> Error detected...
729090000 >> Error detected...
729740000 >> Error detected...
730365000 >> Error detected...
731065000 >> Error detected...
731490000 >> Error detected...
733065000 >> Error detected...
733690000 >> Error detected...
735140000 >> Error detected...
735790000 >> Error detected...
736240000 >> Error detected...
737115000 >> Error detected...
737540000 >> Error detected...
739115000 >> Error detected...
739740000 >> Error detected...
741190000 >> Error detected...
741840000 >> Error detected...
742290000 >> Error detected...
742990000 >> Error detected...
743590000 >> Error detected...
745165000 >> Error detected...
745790000 >> Error detected...
747240000 >> Error detected...
747890000 >> Error detected...
748340000 >> Error detected...
749040000 >> Error detected...
749640000 >> Error detected...
751215000 >> Error detected...
751840000 >> Error detected...
753290000 >> Error detected...
753940000 >> Error detected...
754390000 >> Error detected...
755090000 >> Error detected...
755515000 >> Error detected...
757265000 >> Error detected...
757890000 >> Error detected...
759340000 >> Error detected...
759990000 >> Error detected...
760440000 >> Error detected...
761140000 >> Error detected...
761565000 >> Error detected...
763315000 >> Error detected...
763940000 >> Error detected...
765390000 >> Error detected...
766040000 >> Error detected...
766490000 >> Error detected...
767190000 >> Error detected...
767615000 >> Error detected...
769365000 >> Error detected...
769990000 >> Error detected...
771440000 >> Error detected...
772090000 >> Error detected...
772540000 >> Error detected...
773240000 >> Error detected...
773665000 >> Error detected...
775415000 >> Error detected...
776040000 >> Error detected...
777490000 >> Error detected...
778140000 >> Error detected...
778590000 >> Error detected...
779290000 >> Error detected...
779715000 >> Error detected...
781290000 >> Error detected...
782065000 >> Error detected...
783515000 >> Error detected...
784165000 >> Error detected...
784615000 >> Error detected...
785315000 >> Error detected...
785740000 >> Error detected...
787315000 >> Error detected...
788115000 >> Error detected...
789565000 >> Error detected...
790215000 >> Error detected...
790665000 >> Error detected...
791365000 >> Error detected...
791790000 >> Error detected...
793365000 >> Error detected...
