Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 697706
584315000 >> iteration no: 0
994990000 >> iteration no: 1
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
1278715000 >> Error detected...
1279365000 >> Error detected...
1279815000 >> Error detected...
1280515000 >> Error detected...
1281115000 >> Error detected...
1282690000 >> Error detected...
1283315000 >> Error detected...
1284765000 >> Error detected...
1285415000 >> Error detected...
1285865000 >> Error detected...
1286565000 >> Error detected...
1287165000 >> Error detected...
1288740000 >> Error detected...
1289365000 >> Error detected...
1290815000 >> Error detected...
1291465000 >> Error detected...
1291915000 >> Error detected...
1292615000 >> Error detected...
1293040000 >> Error detected...
1294765000 >> Error detected...
1295390000 >> Error detected...
1296840000 >> Error detected...
1297490000 >> Error detected...
1297940000 >> Error detected...
1298640000 >> Error detected...
1299065000 >> Error detected...
1300815000 >> Error detected...
1301440000 >> Error detected...
1302890000 >> Error detected...
1303540000 >> Error detected...
1303990000 >> Error detected...
1304690000 >> Error detected...
1305115000 >> Error detected...
1306865000 >> Error detected...
1307490000 >> Error detected...
1308940000 >> Error detected...
1309590000 >> Error detected...
1310040000 >> Error detected...
1310740000 >> Error detected...
1311165000 >> Error detected...
1312915000 >> Error detected...
1313540000 >> Error detected...
1314990000 >> Error detected...
1315640000 >> Error detected...
1316090000 >> Error detected...
1316790000 >> Error detected...
1317215000 >> Error detected...
1318790000 >> Error detected...
1319565000 >> Error detected...
1321015000 >> Error detected...
1321665000 >> Error detected...
1322115000 >> Error detected...
1322815000 >> Error detected...
1323240000 >> Error detected...
1324815000 >> Error detected...
1325440000 >> Error detected...
1327065000 >> Error detected...
1327715000 >> Error detected...
1328165000 >> Error detected...
1328865000 >> Error detected...
1329290000 >> Error detected...
1330865000 >> Error detected...
1331490000 >> Error detected...
1333115000 >> Error detected...
1333765000 >> Error detected...
1334215000 >> Error detected...
1334915000 >> Error detected...
1335340000 >> Error detected...
1336915000 >> Error detected...
1337540000 >> Error detected...
1339165000 >> Error detected...
1339815000 >> Error detected...
1340265000 >> Error detected...
1340965000 >> Error detected...
1341390000 >> Error detected...
1342965000 >> Error detected...
1343590000 >> Error detected...
1345215000 >> Error detected...
1345865000 >> Error detected...
1346315000 >> Error detected...
1347015000 >> Error detected...
1347440000 >> Error detected...
1349015000 >> Error detected...
1349640000 >> Error detected...
1351265000 >> Error detected...
1351915000 >> Error detected...
1352365000 >> Error detected...
1353065000 >> Error detected...
1353490000 >> Error detected...
1355065000 >> Error detected...
1355690000 >> Error detected...
1357140000 >> Error detected...
1357965000 >> Error detected...
1358415000 >> Error detected...
1359115000 >> Error detected...
1359540000 >> Error detected...
1361115000 >> Error detected...
1361740000 >> Error detected...
1363190000 >> Error detected...
1364015000 >> Error detected...
1364465000 >> Error detected...
1365165000 >> Error detected...
1365590000 >> Error detected...
1367165000 >> Error detected...
1367790000 >> Error detected...
1369240000 >> Error detected...
1369890000 >> Error detected...
1370515000 >> Error detected...
1371215000 >> Error detected...
1371640000 >> Error detected...
1373215000 >> Error detected...
1373840000 >> Error detected...
1375290000 >> Error detected...
1375940000 >> Error detected...
1376390000 >> Error detected...
1377265000 >> Error detected...
1377690000 >> Error detected...
1379265000 >> Error detected...
1379890000 >> Error detected...
1381340000 >> Error detected...
1381990000 >> Error detected...
1382440000 >> Error detected...
1383315000 >> Error detected...
1383740000 >> Error detected...
1385315000 >> Error detected...
1385940000 >> Error detected...
1387390000 >> Error detected...
1388040000 >> Error detected...
1388490000 >> Error detected...
1389190000 >> Error detected...
1389790000 >> Error detected...
1391365000 >> Error detected...
1391990000 >> Error detected...
1393440000 >> Error detected...
1394090000 >> Error detected...
1394540000 >> Error detected...
1395240000 >> Error detected...
1395665000 >> Error detected...
1397415000 >> Error detected...
1397740000 >> Error detected...
1398040000 >> Error detected...
1398615000 >> Error detected...
1405665000 >> iteration no: 2
1816315000 >> iteration no: 3
2226965000 >> iteration no: 4
2637215000 >> prog fin.
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.w.wreg:0
