Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 3599340
586290000 >> iteration no: 0
1598340000 >> iteration no: 1
2610390000 >> iteration no: 2
3622265000 >> iteration no: 3
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
4182590000 >> Error detected...
4185090000 >> Error detected...
4186540000 >> Error detected...
4186815000 >> Error detected...
4187265000 >> Error detected...
4187665000 >> Error detected...
4187790000 >> Error detected...
4188490000 >> Error detected...
4188765000 >> Error detected...
4189340000 >> Error detected...
4189690000 >> Error detected...
4189940000 >> Error detected...
4190265000 >> Error detected...
4190840000 >> Error detected...
4191490000 >> Error detected...
4191915000 >> Error detected...
4193615000 >> Error detected...
4196340000 >> Error detected...
4197590000 >> Error detected...
4198665000 >> Error detected...
4198865000 >> Error detected...
4200315000 >> Error detected...
4203065000 >> Error detected...
4204340000 >> Error detected...
4204615000 >> Error detected...
4205065000 >> Error detected...
4205640000 >> Error detected...
4205765000 >> Error detected...
4206465000 >> Error detected...
4206740000 >> Error detected...
4207315000 >> Error detected...
4207665000 >> Error detected...
4207915000 >> Error detected...
4208240000 >> Error detected...
4208815000 >> Error detected...
4209465000 >> Error detected...
4209890000 >> Error detected...
4211415000 >> Error detected...
4214315000 >> Error detected...
4215565000 >> Error detected...
4216640000 >> Error detected...
4216840000 >> Error detected...
4218115000 >> Error detected...
4221040000 >> Error detected...
4222315000 >> Error detected...
4222590000 >> Error detected...
4223040000 >> Error detected...
4223440000 >> Error detected...
4223565000 >> Error detected...
4224265000 >> Error detected...
4224540000 >> Error detected...
4225290000 >> Error detected...
4225640000 >> Error detected...
4225890000 >> Error detected...
4226215000 >> Error detected...
4226790000 >> Error detected...
4227440000 >> Error detected...
4227865000 >> Error detected...
4229390000 >> Error detected...
4232290000 >> Error detected...
4233540000 >> Error detected...
4234615000 >> Error detected...
4234815000 >> Error detected...
4236090000 >> Error detected...
4239015000 >> Error detected...
4240290000 >> Error detected...
4240565000 >> Error detected...
4241015000 >> Error detected...
4241415000 >> Error detected...
4241540000 >> Error detected...
4242240000 >> Error detected...
4242515000 >> Error detected...
4243090000 >> Error detected...
4243440000 >> Error detected...
4243690000 >> Error detected...
4244190000 >> Error detected...
4244765000 >> Error detected...
4245415000 >> Error detected...
4245865000 >> Error detected...
4247140000 >> Error detected...
4247790000 >> Error detected...
4248440000 >> Error detected...
4248990000 >> Error detected...
4249590000 >> Error detected...
4250165000 >> Error detected...
4250690000 >> Error detected...
4250940000 >> Error detected...
4251265000 >> Error detected...
4251840000 >> Error detected...
4252490000 >> Error detected...
4252915000 >> Error detected...
4254440000 >> Error detected...
4257340000 >> Error detected...
4258590000 >> Error detected...
4259665000 >> Error detected...
4259865000 >> Error detected...
4261140000 >> Error detected...
4264040000 >> Error detected...
4265315000 >> Error detected...
4265590000 >> Error detected...
4266040000 >> Error detected...
4266440000 >> Error detected...
4266565000 >> Error detected...
4267265000 >> Error detected...
4267540000 >> Error detected...
4268115000 >> Error detected...
4268465000 >> Error detected...
4268715000 >> Error detected...
4269040000 >> Error detected...
4269765000 >> Error detected...
4270415000 >> Error detected...
4270840000 >> Error detected...
4272365000 >> Error detected...
4275090000 >> Error detected...
4276515000 >> Error detected...
4277590000 >> Error detected...
4277790000 >> Error detected...
4279065000 >> Error detected...
4281815000 >> Error detected...
4283265000 >> Error detected...
4283540000 >> Error detected...
4283990000 >> Error detected...
4284390000 >> Error detected...
4284515000 >> Error detected...
4285215000 >> Error detected...
4285490000 >> Error detected...
4286065000 >> Error detected...
4286415000 >> Error detected...
4286665000 >> Error detected...
4286990000 >> Error detected...
4287565000 >> Error detected...
4288215000 >> Error detected...
4288815000 >> Error detected...
4290340000 >> Error detected...
4293065000 >> Error detected...
4294315000 >> Error detected...
4295565000 >> Error detected...
4295765000 >> Error detected...
4297040000 >> Error detected...
4299790000 >> Error detected...
4301065000 >> Error detected...
4301340000 >> Error detected...
4301965000 >> Error detected...
4302365000 >> Error detected...
4302490000 >> Error detected...
4303190000 >> Error detected...
4303465000 >> Error detected...
4304040000 >> Error detected...
