Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.cwp
oldval = 111
pos1: 2 pos0: -1 posU: -1
newval = 110
Signal value: 111
force in 605446
586290000 >> iteration no: 0
oldval = 111
pos1: 2 pos0: -1 posU: -1
newval = 110
1187665000 >> Error detected...
1188365000 >> Error detected...
1188640000 >> Error detected...
1189215000 >> Error detected...
1189565000 >> Error detected...
1189815000 >> Error detected...
1190140000 >> Error detected...
1190715000 >> Error detected...
1191540000 >> Error detected...
1191965000 >> Error detected...
1193490000 >> Error detected...
1196215000 >> Error detected...
1197640000 >> Error detected...
1198715000 >> Error detected...
1198915000 >> Error detected...
1200190000 >> Error detected...
1202940000 >> Error detected...
1204390000 >> Error detected...
1204665000 >> Error detected...
1205115000 >> Error detected...
1205515000 >> Error detected...
1205640000 >> Error detected...
1206340000 >> Error detected...
1206615000 >> Error detected...
1207190000 >> Error detected...
1207540000 >> Error detected...
1207790000 >> Error detected...
1208115000 >> Error detected...
1208690000 >> Error detected...
1209340000 >> Error detected...
1209790000 >> Error detected...
1211240000 >> Error detected...
1211890000 >> Error detected...
1212540000 >> Error detected...
1213090000 >> Error detected...
1213690000 >> Error detected...
1214265000 >> Error detected...
1214615000 >> Error detected...
1214865000 >> Error detected...
1215190000 >> Error detected...
1215765000 >> Error detected...
1216415000 >> Error detected...
1217015000 >> Error detected...
1218540000 >> Error detected...
1221265000 >> Error detected...
1222515000 >> Error detected...
1223765000 >> Error detected...
1223965000 >> Error detected...
1225240000 >> Error detected...
1227990000 >> Error detected...
1229265000 >> Error detected...
1229690000 >> Error detected...
1230140000 >> Error detected...
1230540000 >> Error detected...
1230665000 >> Error detected...
1231365000 >> Error detected...
1231640000 >> Error detected...
1232215000 >> Error detected...
1232565000 >> Error detected...
1232815000 >> Error detected...
1233140000 >> Error detected...
1233715000 >> Error detected...
1234365000 >> Error detected...
1234790000 >> Error detected...
1236490000 >> Error detected...
1239215000 >> Error detected...
1240465000 >> Error detected...
1241540000 >> Error detected...
1241740000 >> Error detected...
1243190000 >> Error detected...
1245940000 >> Error detected...
1247215000 >> Error detected...
1247490000 >> Error detected...
1247940000 >> Error detected...
1248340000 >> Error detected...
1248465000 >> Error detected...
1249340000 >> Error detected...
1249615000 >> Error detected...
1250190000 >> Error detected...
1250540000 >> Error detected...
1250790000 >> Error detected...
1251115000 >> Error detected...
1251690000 >> Error detected...
1252340000 >> Error detected...
1252765000 >> Error detected...
1254290000 >> Error detected...
1257190000 >> Error detected...
1258440000 >> Error detected...
1259515000 >> Error detected...
1259715000 >> Error detected...
1260990000 >> Error detected...
1263915000 >> Error detected...
1265190000 >> Error detected...
1265465000 >> Error detected...
1265915000 >> Error detected...
1266315000 >> Error detected...
1266440000 >> Error detected...
1267140000 >> Error detected...
1267415000 >> Error detected...
1268165000 >> Error detected...
1268515000 >> Error detected...
1268765000 >> Error detected...
1269090000 >> Error detected...
1269665000 >> Error detected...
1270315000 >> Error detected...
1270740000 >> Error detected...
1272265000 >> Error detected...
1275165000 >> Error detected...
1276415000 >> Error detected...
1277490000 >> Error detected...
1277690000 >> Error detected...
1278965000 >> Error detected...
1281865000 >> Error detected...
1283140000 >> Error detected...
1283415000 >> Error detected...
1283865000 >> Error detected...
1284265000 >> Error detected...
1284390000 >> Error detected...
1285090000 >> Error detected...
1285365000 >> Error detected...
1285940000 >> Error detected...
1286290000 >> Error detected...
1286540000 >> Error detected...
1286865000 >> Error detected...
1287590000 >> Error detected...
1288240000 >> Error detected...
1288665000 >> Error detected...
1290190000 >> Error detected...
1292915000 >> Error detected...
1294340000 >> Error detected...
1295415000 >> Error detected...
1295615000 >> Error detected...
1296890000 >> Error detected...
1299640000 >> Error detected...
1301090000 >> Error detected...
1301365000 >> Error detected...
1301815000 >> Error detected...
1302215000 >> Error detected...
1302340000 >> Error detected...
1303040000 >> Error detected...
1303315000 >> Error detected...
1303890000 >> Error detected...
1304240000 >> Error detected...
1304490000 >> Error detected...
1304815000 >> Error detected...
1305390000 >> Error detected...
1306040000 >> Error detected...
1306665000 >> Error detected...
1307940000 >> Error detected...
1308590000 >> Error detected...
1309240000 >> Error detected...
1309790000 >> Error detected...
1310390000 >> Error detected...
1310965000 >> Error detected...
1311315000 >> Error detected...
1311565000 >> Error detected...
1311890000 >> Error detected...
1312465000 >> Error detected...
1313290000 >> Error detected...
1313715000 >> Error detected...
1315240000 >> Error detected...
1317965000 >> Error detected...
1319390000 >> Error detected...
1320465000 >> Error detected...
1320665000 >> Error detected...
1321940000 >> Error detected...
1324690000 >> Error detected...
1326140000 >> Error detected...
1326415000 >> Error detected...
1326865000 >> Error detected...
1327265000 >> Error detected...
1327390000 >> Error detected...
1328090000 >> Error detected...
1328365000 >> Error detected...
1328940000 >> Error detected...
1329290000 >> Error detected...
1329540000 >> Error detected...
1329865000 >> Error detected...
1330440000 >> Error detected...
1331090000 >> Error detected...
1331515000 >> Error detected...
1333215000 >> Error detected...
1335940000 >> Error detected...
1337190000 >> Error detected...
1338440000 >> Error detected...
1338640000 >> Error detected...
1339915000 >> Error detected...
1342665000 >> Error detected...
1343940000 >> Error detected...
1344215000 >> Error detected...
1344840000 >> Error detected...
1345240000 >> Error detected...
1345365000 >> Error detected...
1346065000 >> Error detected...
1346340000 >> Error detected...
1346915000 >> Error detected...
1347265000 >> Error detected...
1347515000 >> Error detected...
1347840000 >> Error detected...
1348415000 >> Error detected...
1349065000 >> Error detected...
1349490000 >> Error detected...
1351015000 >> Error detected...
1353915000 >> Error detected...
1355165000 >> Error detected...
1356240000 >> Error detected...
1356440000 >> Error detected...
1357890000 >> Error detected...
1360640000 >> Error detected...
1361915000 >> Error detected...
1362190000 >> Error detected...
1362640000 >> Error detected...
1363040000 >> Error detected...
1363165000 >> Error detected...
1364040000 >> Error detected...
1364315000 >> Error detected...
1364890000 >> Error detected...
1365240000 >> Error detected...
1365490000 >> Error detected...
1365815000 >> Error detected...
1366390000 >> Error detected...
1367040000 >> Error detected...
1367465000 >> Error detected...
1368990000 >> Error detected...
1371890000 >> Error detected...
1373140000 >> Error detected...
1374215000 >> Error detected...
1374415000 >> Error detected...
1375690000 >> Error detected...
1378615000 >> Error detected...
1379890000 >> Error detected...
1380165000 >> Error detected...
1380615000 >> Error detected...
1381015000 >> Error detected...
1381140000 >> Error detected...
1381840000 >> Error detected...
1382115000 >> Error detected...
1382690000 >> Error detected...
1383215000 >> Error detected...
1383465000 >> Error detected...
1383790000 >> Error detected...
1384365000 >> Error detected...
1385015000 >> Error detected...
1385465000 >> Error detected...
1386740000 >> Error detected...
1387390000 >> Error detected...
1388040000 >> Error detected...
1388590000 >> Error detected...
1389190000 >> Error detected...
1389940000 >> Error detected...
1390290000 >> Error detected...
1390540000 >> Error detected...
1390865000 >> Error detected...
1391440000 >> Error detected...
1392090000 >> Error detected...
1392515000 >> Error detected...
1394040000 >> Error detected...
1396940000 >> Error detected...
1398190000 >> Error detected...
1399265000 >> Error detected...
1399465000 >> Error detected...
1400740000 >> Error detected...
1403640000 >> Error detected...
1404915000 >> Error detected...
1405190000 >> Error detected...
1405640000 >> Error detected...
1406040000 >> Error detected...
1406165000 >> Error detected...
1406865000 >> Error detected...
1407140000 >> Error detected...
1407715000 >> Error detected...
1408065000 >> Error detected...
1408315000 >> Error detected...
1408815000 >> Error detected...
1409390000 >> Error detected...
1410040000 >> Error detected...
1410465000 >> Error detected...
1411990000 >> Error detected...
1414715000 >> Error detected...
1416140000 >> Error detected...
1417215000 >> Error detected...
1417415000 >> Error detected...
1418690000 >> Error detected...
1421615000 >> Error detected...
1422890000 >> Error detected...
1423165000 >> Error detected...
1423615000 >> Error detected...
1424015000 >> Error detected...
1424140000 >> Error detected...
1424840000 >> Error detected...
1425115000 >> Error detected...
1425690000 >> Error detected...
1426040000 >> Error detected...
1426290000 >> Error detected...
1426615000 >> Error detected...
1427190000 >> Error detected...
1428015000 >> Error detected...
1428440000 >> Error detected...
1429965000 >> Error detected...
1432690000 >> Error detected...
1433940000 >> Error detected...
1435165000 >> Error detected...
1435365000 >> Error detected...
1436640000 >> Error detected...
1439390000 >> Error detected...
1440840000 >> Error detected...
1441115000 >> Error detected...
1441565000 >> Error detected...
1441965000 >> Error detected...
1442090000 >> Error detected...
1442790000 >> Error detected...
1443065000 >> Error detected...
1443640000 >> Error detected...
1443990000 >> Error detected...
1444240000 >> Error detected...
1444565000 >> Error detected...
1445140000 >> Error detected...
1445790000 >> Error detected...
1446240000 >> Error detected...
1447665000 >> Error detected...
1448315000 >> Error detected...
1448965000 >> Error detected...
1449515000 >> Error detected...
1450115000 >> Error detected...
1450690000 >> Error detected...
1451040000 >> Error detected...
1451290000 >> Error detected...
