Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 2065921
586290000 >> iteration no: 0
1598340000 >> iteration no: 1
2610390000 >> iteration no: 2
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
2648315000 >> Error detected...
2649015000 >> Error detected...
2649665000 >> Error detected...
2651315000 >> Error detected...
2652340000 >> Error detected...
2652990000 >> Error detected...
2653440000 >> Error detected...
2654140000 >> Error detected...
2654790000 >> Error detected...
2656265000 >> Error detected...
2657465000 >> Error detected...
2658115000 >> Error detected...
2658565000 >> Error detected...
2659265000 >> Error detected...
2659915000 >> Error detected...
2661390000 >> Error detected...
2662415000 >> Error detected...
2663215000 >> Error detected...
2663665000 >> Error detected...
2664365000 >> Error detected...
2664715000 >> Error detected...
2665115000 >> Error detected...
2666640000 >> Error detected...
2666990000 >> Error detected...
2667565000 >> Error detected...
2668390000 >> Error detected...
2668690000 >> Error detected...
2669015000 >> Error detected...
2669790000 >> Error detected...
2670115000 >> Error detected...
2670415000 >> Error detected...
2670715000 >> Error detected...
2671065000 >> Error detected...
2671665000 >> Error detected...
2672515000 >> Error detected...
2673090000 >> Error detected...
2673365000 >> Error detected...
2673715000 >> Error detected...
2674290000 >> Error detected...
2674640000 >> Error detected...
2675415000 >> Error detected...
2676165000 >> Error detected...
2676765000 >> Error detected...
2677340000 >> Error detected...
2677915000 >> Error detected...
2678215000 >> Error detected...
2678840000 >> Error detected...
2679240000 >> Error detected...
2679815000 >> Error detected...
2680390000 >> Error detected...
2680665000 >> Error detected...
2681240000 >> Error detected...
2681565000 >> Error detected...
2682540000 >> Error detected...
2683115000 >> Error detected...
2683440000 >> Error detected...
2684015000 >> Error detected...
2684590000 >> Error detected...
2684865000 >> Error detected...
2685440000 >> Error detected...
2685765000 >> Error detected...
2686565000 >> Error detected...
2687165000 >> Error detected...
2687790000 >> Error detected...
2688315000 >> Error detected...
2689265000 >> Error detected...
2689640000 >> Error detected...
2690490000 >> Error detected...
2691065000 >> Error detected...
2691340000 >> Error detected...
2691690000 >> Error detected...
2692265000 >> Error detected...
2692615000 >> Error detected...
2693390000 >> Error detected...
2693965000 >> Error detected...
2694565000 >> Error detected...
2695315000 >> Error detected...
2695890000 >> Error detected...
2696190000 >> Error detected...
2696815000 >> Error detected...
2697215000 >> Error detected...
2697790000 >> Error detected...
2698365000 >> Error detected...
2698640000 >> Error detected...
2699215000 >> Error detected...
2699540000 >> Error detected...
2700340000 >> Error detected...
2700915000 >> Error detected...
2701240000 >> Error detected...
2701990000 >> Error detected...
2702565000 >> Error detected...
2702840000 >> Error detected...
2703415000 >> Error detected...
2703740000 >> Error detected...
2704540000 >> Error detected...
2705140000 >> Error detected...
2705765000 >> Error detected...
2706290000 >> Error detected...
2707065000 >> Error detected...
2707440000 >> Error detected...
2708465000 >> Error detected...
2709040000 >> Error detected...
2709315000 >> Error detected...
2709665000 >> Error detected...
2710240000 >> Error detected...
2710590000 >> Error detected...
2711365000 >> Error detected...
2711940000 >> Error detected...
2712540000 >> Error detected...
2713115000 >> Error detected...
2713690000 >> Error detected...
2713990000 >> Error detected...
2714790000 >> Error detected...
2715190000 >> Error detected...
2715765000 >> Error detected...
2716340000 >> Error detected...
2716615000 >> Error detected...
2717190000 >> Error detected...
2717515000 >> Error detected...
2718315000 >> Error detected...
2718890000 >> Error detected...
2719215000 >> Error detected...
2719790000 >> Error detected...
2720365000 >> Error detected...
2720815000 >> Error detected...
2721390000 >> Error detected...
2721715000 >> Error detected...
2722515000 >> Error detected...
2723115000 >> Error detected...
2723740000 >> Error detected...
2724265000 >> Error detected...
2725040000 >> Error detected...
2725415000 >> Error detected...
2726265000 >> Error detected...
2726840000 >> Error detected...
2727265000 >> Error detected...
2727615000 >> Error detected...
2728190000 >> Error detected...
2728540000 >> Error detected...
2729315000 >> Error detected...
2729890000 >> Error detected...
2730490000 >> Error detected...
2731065000 >> Error detected...
2731640000 >> Error detected...
2731940000 >> Error detected...
2732565000 >> Error detected...
2732965000 >> Error detected...
2733715000 >> Error detected...
2734290000 >> Error detected...
2734565000 >> Error detected...
