Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.cwp
oldval = 111
pos1: 2 pos0: -1 posU: -1
newval = 110
Signal value: 111
force in 4736130
586290000 >> iteration no: 0
1598340000 >> iteration no: 1
2610390000 >> iteration no: 2
3622265000 >> iteration no: 3
4634040000 >> iteration no: 4
oldval = 111
pos1: 2 pos0: -1 posU: -1
newval = 110
5318365000 >> Error detected...
5320065000 >> Error detected...
5322790000 >> Error detected...
5324040000 >> Error detected...
5325115000 >> Error detected...
5325490000 >> Error detected...
5326765000 >> Error detected...
5329515000 >> Error detected...
5330790000 >> Error detected...
5331065000 >> Error detected...
5331515000 >> Error detected...
5332090000 >> Error detected...
5332215000 >> Error detected...
5332915000 >> Error detected...
5333190000 >> Error detected...
5333765000 >> Error detected...
5334115000 >> Error detected...
5334365000 >> Error detected...
5334690000 >> Error detected...
5335265000 >> Error detected...
5335915000 >> Error detected...
5336340000 >> Error detected...
5337865000 >> Error detected...
5340765000 >> Error detected...
5342015000 >> Error detected...
5343090000 >> Error detected...
5343290000 >> Error detected...
5344565000 >> Error detected...
5347490000 >> Error detected...
5348765000 >> Error detected...
5349040000 >> Error detected...
5349490000 >> Error detected...
5349890000 >> Error detected...
5350015000 >> Error detected...
5350715000 >> Error detected...
5350990000 >> Error detected...
5351740000 >> Error detected...
5352090000 >> Error detected...
5352340000 >> Error detected...
5352665000 >> Error detected...
5353240000 >> Error detected...
5353890000 >> Error detected...
5354340000 >> Error detected...
5355615000 >> Error detected...
5356265000 >> Error detected...
5356915000 >> Error detected...
5357615000 >> Error detected...
5358215000 >> Error detected...
5358790000 >> Error detected...
5359140000 >> Error detected...
5359390000 >> Error detected...
5359715000 >> Error detected...
5360290000 >> Error detected...
5360940000 >> Error detected...
5361365000 >> Error detected...
5362890000 >> Error detected...
5365790000 >> Error detected...
5367040000 >> Error detected...
5368115000 >> Error detected...
5368315000 >> Error detected...
5369590000 >> Error detected...
5372515000 >> Error detected...
5373790000 >> Error detected...
5374065000 >> Error detected...
5374515000 >> Error detected...
5374915000 >> Error detected...
5375040000 >> Error detected...
5375740000 >> Error detected...
5376015000 >> Error detected...
5376590000 >> Error detected...
5377115000 >> Error detected...
5377365000 >> Error detected...
5377690000 >> Error detected...
5378265000 >> Error detected...
5378915000 >> Error detected...
5379340000 >> Error detected...
5380865000 >> Error detected...
5383765000 >> Error detected...
5385015000 >> Error detected...
5386090000 >> Error detected...
5386290000 >> Error detected...
5387565000 >> Error detected...
5390465000 >> Error detected...
5391740000 >> Error detected...
5392015000 >> Error detected...
5392465000 >> Error detected...
5392865000 >> Error detected...
5392990000 >> Error detected...
5393690000 >> Error detected...
5393965000 >> Error detected...
5394540000 >> Error detected...
5394890000 >> Error detected...
5395140000 >> Error detected...
5395465000 >> Error detected...
5396190000 >> Error detected...
5396840000 >> Error detected...
5397265000 >> Error detected...
5398790000 >> Error detected...
5401515000 >> Error detected...
5402940000 >> Error detected...
5404015000 >> Error detected...
5404215000 >> Error detected...
5405490000 >> Error detected...
5408240000 >> Error detected...
5409690000 >> Error detected...
5409965000 >> Error detected...
5410415000 >> Error detected...
5410815000 >> Error detected...
5410940000 >> Error detected...
5411640000 >> Error detected...
5411915000 >> Error detected...
5412490000 >> Error detected...
5412840000 >> Error detected...
5413090000 >> Error detected...
5413415000 >> Error detected...
5413990000 >> Error detected...
5414640000 >> Error detected...
5415240000 >> Error detected...
5416765000 >> Error detected...
5419490000 >> Error detected...
5420740000 >> Error detected...
5421990000 >> Error detected...
5422190000 >> Error detected...
5423465000 >> Error detected...
5426215000 >> Error detected...
5427490000 >> Error detected...
5427765000 >> Error detected...
5428390000 >> Error detected...
5428790000 >> Error detected...
5428915000 >> Error detected...
5429615000 >> Error detected...
5429890000 >> Error detected...
5430465000 >> Error detected...
5430815000 >> Error detected...
5431065000 >> Error detected...
5431390000 >> Error detected...
5431965000 >> Error detected...
5432615000 >> Error detected...
5433065000 >> Error detected...
5434515000 >> Error detected...
5435165000 >> Error detected...
5435815000 >> Error detected...
5436365000 >> Error detected...
5436965000 >> Error detected...
5437540000 >> Error detected...
5437890000 >> Error detected...
5438140000 >> Error detected...
5438465000 >> Error detected...
5439040000 >> Error detected...
5439690000 >> Error detected...
5440115000 >> Error detected...
5441815000 >> Error detected...
5444540000 >> Error detected...
5445790000 >> Error detected...
5446865000 >> Error detected...
5447240000 >> Error detected...
5448515000 >> Error detected...
5451265000 >> Error detected...
5452540000 >> Error detected...
5452815000 >> Error detected...
5453265000 >> Error detected...
5453840000 >> Error detected...
5453965000 >> Error detected...
5454665000 >> Error detected...
5454940000 >> Error detected...
5455515000 >> Error detected...
5455865000 >> Error detected...
5456115000 >> Error detected...
5456440000 >> Error detected...
5457015000 >> Error detected...
5457665000 >> Error detected...
5458090000 >> Error detected...
5459615000 >> Error detected...
5462515000 >> Error detected...
5463765000 >> Error detected...
5464840000 >> Error detected...
5465040000 >> Error detected...
5466490000 >> Error detected...
5469240000 >> Error detected...
5470515000 >> Error detected...
5470790000 >> Error detected...
5471240000 >> Error detected...
5471640000 >> Error detected...
5471765000 >> Error detected...
5472465000 >> Error detected...
5472915000 >> Error detected...
5473490000 >> Error detected...
5473840000 >> Error detected...
5474090000 >> Error detected...
5474415000 >> Error detected...
5474990000 >> Error detected...
5475640000 >> Error detected...
5476065000 >> Error detected...
5477590000 >> Error detected...
5480490000 >> Error detected...
5481740000 >> Error detected...
5482815000 >> Error detected...
5483015000 >> Error detected...
5484290000 >> Error detected...
5487215000 >> Error detected...
5488490000 >> Error detected...
5488765000 >> Error detected...
5489215000 >> Error detected...
5489615000 >> Error detected...
5489740000 >> Error detected...
5490440000 >> Error detected...
5490715000 >> Error detected...
5491290000 >> Error detected...
5491640000 >> Error detected...
5492040000 >> Error detected...
5492365000 >> Error detected...
5492940000 >> Error detected...
5493590000 >> Error detected...
5494040000 >> Error detected...
5495315000 >> Error detected...
5495965000 >> Error detected...
5496615000 >> Error detected...
5497165000 >> Error detected...
5497765000 >> Error detected...
5498515000 >> Error detected...
5498865000 >> Error detected...
5499115000 >> Error detected...
5499440000 >> Error detected...
5500015000 >> Error detected...
5500665000 >> Error detected...
5501090000 >> Error detected...
5502615000 >> Error detected...
5505515000 >> Error detected...
5506765000 >> Error detected...
5507840000 >> Error detected...
5508040000 >> Error detected...
5509315000 >> Error detected...
5512240000 >> Error detected...
5513515000 >> Error detected...
5513790000 >> Error detected...
5514240000 >> Error detected...
5514640000 >> Error detected...
5514765000 >> Error detected...
5515465000 >> Error detected...
5515740000 >> Error detected...
5516315000 >> Error detected...
5516665000 >> Error detected...
5516915000 >> Error detected...
5517240000 >> Error detected...
5517965000 >> Error detected...
5518615000 >> Error detected...
5519040000 >> Error detected...
5520565000 >> Error detected...
5523290000 >> Error detected...
5524715000 >> Error detected...
5525790000 >> Error detected...
5525990000 >> Error detected...
5527265000 >> Error detected...
5530015000 >> Error detected...
5531465000 >> Error detected...
5531740000 >> Error detected...
5532190000 >> Error detected...
5532590000 >> Error detected...
5532715000 >> Error detected...
5533415000 >> Error detected...
5533690000 >> Error detected...
5534265000 >> Error detected...
5534615000 >> Error detected...
5534865000 >> Error detected...
5535190000 >> Error detected...
5535765000 >> Error detected...
5536415000 >> Error detected...
5537040000 >> Error detected...
5538315000 >> Error detected...
5538965000 >> Error detected...
5539615000 >> Error detected...
5540165000 >> Error detected...
5540765000 >> Error detected...
5541340000 >> Error detected...
5541690000 >> Error detected...
5541940000 >> Error detected...
5542265000 >> Error detected...
5542840000 >> Error detected...
5543665000 >> Error detected...
5544090000 >> Error detected...
5545615000 >> Error detected...
5548340000 >> Error detected...
5549765000 >> Error detected...
5550840000 >> Error detected...
5551040000 >> Error detected...
5552315000 >> Error detected...
5555065000 >> Error detected...
5556515000 >> Error detected...
5556790000 >> Error detected...
5557240000 >> Error detected...
5557640000 >> Error detected...
5557765000 >> Error detected...
5558465000 >> Error detected...
5558740000 >> Error detected...
5559315000 >> Error detected...
5559665000 >> Error detected...
5559915000 >> Error detected...
5560240000 >> Error detected...
5560815000 >> Error detected...
5561465000 >> Error detected...
5561915000 >> Error detected...
5563365000 >> Error detected...
5564015000 >> Error detected...
5564665000 >> Error detected...
5565215000 >> Error detected...
5565815000 >> Error detected...
5566390000 >> Error detected...
5566740000 >> Error detected...
5566990000 >> Error detected...
5567315000 >> Error detected...
5567890000 >> Error detected...
5568540000 >> Error detected...
5569165000 >> Error detected...
5570490000 >> Error detected...
5573815000 >> Error detected...
5645715000 >> prog fin.
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.w.wreg:0
/testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.irqen:1
