Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 1110691
586290000 >> iteration no: 0
1598340000 >> iteration no: 1
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
1693865000 >> Error detected...
1694265000 >> Error detected...
1694390000 >> Error detected...
1695090000 >> Error detected...
1695365000 >> Error detected...
1695940000 >> Error detected...
1696290000 >> Error detected...
1696540000 >> Error detected...
1697040000 >> Error detected...
1697615000 >> Error detected...
1698265000 >> Error detected...
1698690000 >> Error detected...
1700215000 >> Error detected...
1702940000 >> Error detected...
1704365000 >> Error detected...
1705440000 >> Error detected...
1705640000 >> Error detected...
1706915000 >> Error detected...
1709840000 >> Error detected...
1711115000 >> Error detected...
1711390000 >> Error detected...
1711840000 >> Error detected...
1712240000 >> Error detected...
1712365000 >> Error detected...
1713065000 >> Error detected...
1713340000 >> Error detected...
1713915000 >> Error detected...
1714265000 >> Error detected...
1714515000 >> Error detected...
1714840000 >> Error detected...
1715415000 >> Error detected...
1716240000 >> Error detected...
1716665000 >> Error detected...
1718190000 >> Error detected...
1720915000 >> Error detected...
1722165000 >> Error detected...
1723390000 >> Error detected...
1723590000 >> Error detected...
1724865000 >> Error detected...
1727615000 >> Error detected...
1729065000 >> Error detected...
1729340000 >> Error detected...
1729790000 >> Error detected...
1730190000 >> Error detected...
1730315000 >> Error detected...
1731015000 >> Error detected...
1731290000 >> Error detected...
1731865000 >> Error detected...
1732215000 >> Error detected...
1732465000 >> Error detected...
1732790000 >> Error detected...
1733365000 >> Error detected...
1734015000 >> Error detected...
1734440000 >> Error detected...
1736140000 >> Error detected...
1738865000 >> Error detected...
1740115000 >> Error detected...
1741190000 >> Error detected...
1741565000 >> Error detected...
1742840000 >> Error detected...
1745590000 >> Error detected...
1746865000 >> Error detected...
1747140000 >> Error detected...
1747590000 >> Error detected...
1748165000 >> Error detected...
1748290000 >> Error detected...
1748990000 >> Error detected...
1749265000 >> Error detected...
1749840000 >> Error detected...
1750190000 >> Error detected...
1750440000 >> Error detected...
1750765000 >> Error detected...
1751340000 >> Error detected...
1751990000 >> Error detected...
1752415000 >> Error detected...
1753940000 >> Error detected...
1756840000 >> Error detected...
1758090000 >> Error detected...
1759165000 >> Error detected...
1759365000 >> Error detected...
1760815000 >> Error detected...
1763565000 >> Error detected...
1764840000 >> Error detected...
1765115000 >> Error detected...
1765565000 >> Error detected...
1765965000 >> Error detected...
1766090000 >> Error detected...
1766790000 >> Error detected...
1767240000 >> Error detected...
1767815000 >> Error detected...
1768165000 >> Error detected...
1768415000 >> Error detected...
1768740000 >> Error detected...
1769315000 >> Error detected...
1769965000 >> Error detected...
1770390000 >> Error detected...
1771915000 >> Error detected...
1774815000 >> Error detected...
1776065000 >> Error detected...
1777140000 >> Error detected...
1777340000 >> Error detected...
1778615000 >> Error detected...
1781540000 >> Error detected...
1782815000 >> Error detected...
1783090000 >> Error detected...
1783540000 >> Error detected...
1783940000 >> Error detected...
1784065000 >> Error detected...
1784765000 >> Error detected...
1785040000 >> Error detected...
1785615000 >> Error detected...
1785965000 >> Error detected...
1786390000 >> Error detected...
1786715000 >> Error detected...
1787290000 >> Error detected...
1787940000 >> Error detected...
1788365000 >> Error detected...
1789890000 >> Error detected...
1792615000 >> Error detected...
1794040000 >> Error detected...
1795115000 >> Error detected...
1795315000 >> Error detected...
1796590000 >> Error detected...
1799515000 >> Error detected...
1800790000 >> Error detected...
1801065000 >> Error detected...
1801515000 >> Error detected...
1801915000 >> Error detected...
1802040000 >> Error detected...
1802740000 >> Error detected...
1803015000 >> Error detected...
1803590000 >> Error detected...
1803940000 >> Error detected...
1804190000 >> Error detected...
1804515000 >> Error detected...
1805090000 >> Error detected...
1805915000 >> Error detected...
1806340000 >> Error detected...
1807865000 >> Error detected...
1810590000 >> Error detected...
1811840000 >> Error detected...
1813065000 >> Error detected...
1813265000 >> Error detected...
1814540000 >> Error detected...
1817290000 >> Error detected...
1818740000 >> Error detected...
1819015000 >> Error detected...
1819465000 >> Error detected...
1819865000 >> Error detected...
1819990000 >> Error detected...
1820690000 >> Error detected...
