Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 1461170
586290000 >> iteration no: 0
1598340000 >> iteration no: 1
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
2044140000 >> Error detected...
2046640000 >> Error detected...
2047915000 >> Error detected...
2048190000 >> Error detected...
2048815000 >> Error detected...
2049215000 >> Error detected...
2049340000 >> Error detected...
2050040000 >> Error detected...
2050315000 >> Error detected...
2050890000 >> Error detected...
2051240000 >> Error detected...
2051490000 >> Error detected...
2051815000 >> Error detected...
2052390000 >> Error detected...
2053040000 >> Error detected...
2053465000 >> Error detected...
2054990000 >> Error detected...
2057890000 >> Error detected...
2059140000 >> Error detected...
2060215000 >> Error detected...
2060415000 >> Error detected...
2061865000 >> Error detected...
2064615000 >> Error detected...
2065890000 >> Error detected...
2066165000 >> Error detected...
2066615000 >> Error detected...
2067015000 >> Error detected...
2067140000 >> Error detected...
2068015000 >> Error detected...
2068290000 >> Error detected...
2068865000 >> Error detected...
2069215000 >> Error detected...
2069465000 >> Error detected...
2069790000 >> Error detected...
2070365000 >> Error detected...
2071015000 >> Error detected...
2071440000 >> Error detected...
2072965000 >> Error detected...
2075865000 >> Error detected...
2077115000 >> Error detected...
2078190000 >> Error detected...
2078390000 >> Error detected...
2079665000 >> Error detected...
2082590000 >> Error detected...
2083865000 >> Error detected...
2084140000 >> Error detected...
2084590000 >> Error detected...
2084990000 >> Error detected...
2085115000 >> Error detected...
2085815000 >> Error detected...
2086090000 >> Error detected...
2086665000 >> Error detected...
2087015000 >> Error detected...
2087415000 >> Error detected...
2087740000 >> Error detected...
2088315000 >> Error detected...
2088965000 >> Error detected...
2089390000 >> Error detected...
2090915000 >> Error detected...
2093765000 >> Error detected...
2095015000 >> Error detected...
2096090000 >> Error detected...
2096290000 >> Error detected...
2097565000 >> Error detected...
2100490000 >> Error detected...
2101765000 >> Error detected...
2102040000 >> Error detected...
2102490000 >> Error detected...
2102890000 >> Error detected...
2103015000 >> Error detected...
2103715000 >> Error detected...
2103990000 >> Error detected...
2104565000 >> Error detected...
2104915000 >> Error detected...
2105165000 >> Error detected...
2105490000 >> Error detected...
2106065000 >> Error detected...
2106890000 >> Error detected...
2107340000 >> Error detected...
2108615000 >> Error detected...
2109265000 >> Error detected...
2109915000 >> Error detected...
2110465000 >> Error detected...
2111065000 >> Error detected...
2111640000 >> Error detected...
2111990000 >> Error detected...
2112240000 >> Error detected...
2112565000 >> Error detected...
2113290000 >> Error detected...
2113940000 >> Error detected...
2114365000 >> Error detected...
2115890000 >> Error detected...
2118615000 >> Error detected...
2120040000 >> Error detected...
2121115000 >> Error detected...
2121315000 >> Error detected...
2122590000 >> Error detected...
2125515000 >> Error detected...
2126790000 >> Error detected...
2127065000 >> Error detected...
2127515000 >> Error detected...
2127915000 >> Error detected...
2128040000 >> Error detected...
2128740000 >> Error detected...
2129015000 >> Error detected...
2129590000 >> Error detected...
2129940000 >> Error detected...
2130190000 >> Error detected...
2130515000 >> Error detected...
2131090000 >> Error detected...
2131740000 >> Error detected...
2132340000 >> Error detected...
2133865000 >> Error detected...
2136590000 >> Error detected...
2137840000 >> Error detected...
2139065000 >> Error detected...
2139265000 >> Error detected...
2140540000 >> Error detected...
2143290000 >> Error detected...
2144565000 >> Error detected...
2144990000 >> Error detected...
2145440000 >> Error detected...
2145840000 >> Error detected...
2145965000 >> Error detected...
2146665000 >> Error detected...
2146940000 >> Error detected...
2147515000 >> Error detected...
2147865000 >> Error detected...
2148115000 >> Error detected...
2148440000 >> Error detected...
2149015000 >> Error detected...
2149665000 >> Error detected...
2150090000 >> Error detected...
2151790000 >> Error detected...
2154515000 >> Error detected...
2155765000 >> Error detected...
2156840000 >> Error detected...
2157040000 >> Error detected...
2158490000 >> Error detected...
2161240000 >> Error detected...
2162515000 >> Error detected...
2162790000 >> Error detected...
2163240000 >> Error detected...
2163640000 >> Error detected...
2163940000 >> Error detected...
2164640000 >> Error detected...
2164915000 >> Error detected...
2165490000 >> Error detected...
2165840000 >> Error detected...
2166090000 >> Error detected...
2166415000 >> Error detected...
