Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.m.wcwp
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
Signal value: 0
force in 209175
586290000 >> iteration no: 0
oldval = 0
pos1: -1 pos0: 0 posU: -1
newval = 1
791740000 >> Error detected...
791990000 >> Error detected...
792315000 >> Error detected...
792890000 >> Error detected...
793540000 >> Error detected...
793965000 >> Error detected...
795665000 >> Error detected...
798390000 >> Error detected...
799640000 >> Error detected...
800890000 >> Error detected...
801090000 >> Error detected...
802365000 >> Error detected...
805115000 >> Error detected...
806390000 >> Error detected...
806665000 >> Error detected...
807290000 >> Error detected...
807690000 >> Error detected...
807815000 >> Error detected...
808515000 >> Error detected...
808790000 >> Error detected...
809365000 >> Error detected...
809715000 >> Error detected...
809965000 >> Error detected...
810290000 >> Error detected...
810865000 >> Error detected...
811515000 >> Error detected...
811965000 >> Error detected...
813240000 >> Error detected...
814065000 >> Error detected...
814715000 >> Error detected...
815265000 >> Error detected...
815865000 >> Error detected...
816440000 >> Error detected...
816790000 >> Error detected...
817040000 >> Error detected...
817365000 >> Error detected...
817940000 >> Error detected...
818590000 >> Error detected...
819015000 >> Error detected...
820715000 >> Error detected...
823440000 >> Error detected...
824690000 >> Error detected...
825765000 >> Error detected...
825965000 >> Error detected...
827415000 >> Error detected...
830165000 >> Error detected...
831440000 >> Error detected...
831715000 >> Error detected...
832165000 >> Error detected...
832565000 >> Error detected...
832865000 >> Error detected...
833565000 >> Error detected...
833840000 >> Error detected...
834415000 >> Error detected...
834765000 >> Error detected...
835015000 >> Error detected...
835340000 >> Error detected...
835915000 >> Error detected...
836565000 >> Error detected...
836990000 >> Error detected...
838515000 >> Error detected...
841415000 >> Error detected...
842665000 >> Error detected...
843740000 >> Error detected...
843940000 >> Error detected...
845215000 >> Error detected...
848140000 >> Error detected...
849415000 >> Error detected...
849690000 >> Error detected...
850140000 >> Error detected...
850540000 >> Error detected...
850665000 >> Error detected...
851365000 >> Error detected...
851640000 >> Error detected...
852390000 >> Error detected...
852740000 >> Error detected...
852990000 >> Error detected...
853315000 >> Error detected...
853890000 >> Error detected...
854540000 >> Error detected...
854965000 >> Error detected...
856490000 >> Error detected...
859390000 >> Error detected...
860640000 >> Error detected...
861715000 >> Error detected...
861915000 >> Error detected...
863190000 >> Error detected...
866115000 >> Error detected...
867390000 >> Error detected...
867665000 >> Error detected...
868115000 >> Error detected...
868515000 >> Error detected...
868640000 >> Error detected...
869340000 >> Error detected...
869615000 >> Error detected...
870190000 >> Error detected...
870540000 >> Error detected...
870790000 >> Error detected...
871290000 >> Error detected...
871865000 >> Error detected...
872515000 >> Error detected...
872940000 >> Error detected...
874465000 >> Error detected...
877190000 >> Error detected...
878615000 >> Error detected...
879690000 >> Error detected...
879890000 >> Error detected...
881165000 >> Error detected...
884090000 >> Error detected...
885365000 >> Error detected...
885640000 >> Error detected...
886090000 >> Error detected...
886490000 >> Error detected...
886615000 >> Error detected...
887315000 >> Error detected...
887590000 >> Error detected...
888165000 >> Error detected...
888515000 >> Error detected...
888765000 >> Error detected...
889090000 >> Error detected...
889665000 >> Error detected...
890490000 >> Error detected...
890915000 >> Error detected...
892440000 >> Error detected...
895165000 >> Error detected...
896415000 >> Error detected...
897640000 >> Error detected...
897840000 >> Error detected...
899115000 >> Error detected...
901865000 >> Error detected...
903315000 >> Error detected...
903590000 >> Error detected...
904040000 >> Error detected...
904440000 >> Error detected...
904565000 >> Error detected...
905265000 >> Error detected...
905540000 >> Error detected...
906115000 >> Error detected...
906465000 >> Error detected...
906715000 >> Error detected...
907040000 >> Error detected...
907615000 >> Error detected...
908265000 >> Error detected...
908690000 >> Error detected...
910390000 >> Error detected...
913115000 >> Error detected...
914365000 >> Error detected...
915440000 >> Error detected...
915640000 >> Error detected...
917090000 >> Error detected...
919840000 >> Error detected...
921115000 >> Error detected...
921390000 >> Error detected...
921840000 >> Error detected...
922240000 >> Error detected...
922540000 >> Error detected...
923240000 >> Error detected...
923515000 >> Error detected...
924090000 >> Error detected...
924440000 >> Error detected...
924690000 >> Error detected...
925015000 >> Error detected...
925590000 >> Error detected...
926240000 >> Error detected...
926665000 >> Error detected...
