Test signal = /testbench/cpu/l3/u0/leon3x0/vhdl/p0/iu/r.d.cwp
oldval = 111
pos1: 2 pos0: -1 posU: -1
newval = 110
Signal value: 111
force in 1799015
584840000 >> iteration no: 0
1027865000 >> iteration no: 1
1470840000 >> iteration no: 2
1913815000 >> iteration no: 3
2356965000 >> iteration no: 4
oldval = 111
pos1: 2 pos0: -1 posU: -1
newval = 110
2379440000 >> Error detected...
2382165000 >> Error detected...
2382840000 >> Error detected...
2383340000 >> Error detected...
2383540000 >> Error detected...
2384240000 >> Error detected...
2385115000 >> Error detected...
2386365000 >> Error detected...
2388265000 >> Error detected...
2389665000 >> Error detected...
2390315000 >> Error detected...
2392865000 >> Error detected...
2393540000 >> Error detected...
2394040000 >> Error detected...
2394415000 >> Error detected...
2395115000 >> Error detected...
2395990000 >> Error detected...
2397240000 >> Error detected...
2398965000 >> Error detected...
2400365000 >> Error detected...
2401190000 >> Error detected...
2403740000 >> Error detected...
2404415000 >> Error detected...
2404915000 >> Error detected...
2405115000 >> Error detected...
2405815000 >> Error detected...
2406140000 >> Error detected...
2407465000 >> Error detected...
2409990000 >> Error detected...
2410665000 >> Error detected...
2411165000 >> Error detected...
2411365000 >> Error detected...
2412065000 >> Error detected...
2412740000 >> Error detected...
2413065000 >> Error detected...
2413965000 >> Error detected...
2414615000 >> Error detected...
2415490000 >> Error detected...
2416740000 >> Error detected...
2418465000 >> Error detected...
2420040000 >> Error detected...
2420690000 >> Error detected...
2423240000 >> Error detected...
2423915000 >> Error detected...
2424415000 >> Error detected...
2424615000 >> Error detected...
2425315000 >> Error detected...
2426190000 >> Error detected...
2427615000 >> Error detected...
2429340000 >> Error detected...
2430740000 >> Error detected...
2431390000 >> Error detected...
2434115000 >> Error detected...
2434790000 >> Error detected...
2435290000 >> Error detected...
2435490000 >> Error detected...
2436190000 >> Error detected...
2437065000 >> Error detected...
2438315000 >> Error detected...
2440215000 >> Error detected...
2441615000 >> Error detected...
2442265000 >> Error detected...
2444815000 >> Error detected...
2445665000 >> Error detected...
2446165000 >> Error detected...
2446365000 >> Error detected...
2447065000 >> Error detected...
2447940000 >> Error detected...
2449190000 >> Error detected...
2450915000 >> Error detected...
2452490000 >> Error detected...
2453140000 >> Error detected...
2455690000 >> Error detected...
2456365000 >> Error detected...
2456865000 >> Error detected...
2457065000 >> Error detected...
2457765000 >> Error detected...
2458090000 >> Error detected...
2459415000 >> Error detected...
2461940000 >> Error detected...
2462615000 >> Error detected...
2463115000 >> Error detected...
2463315000 >> Error detected...
2464015000 >> Error detected...
2464690000 >> Error detected...
2465190000 >> Error detected...
2465915000 >> Error detected...
2466565000 >> Error detected...
2467440000 >> Error detected...
2468690000 >> Error detected...
2470415000 >> Error detected...
2471990000 >> Error detected...
2472640000 >> Error detected...
2475190000 >> Error detected...
2475865000 >> Error detected...
2476365000 >> Error detected...
2476565000 >> Error detected...
2477265000 >> Error detected...
2478290000 >> Error detected...
2479540000 >> Error detected...
2481265000 >> Error detected...
2482665000 >> Error detected...
2483315000 >> Error detected...
2486040000 >> Error detected...
2486715000 >> Error detected...
2487215000 >> Error detected...
2487415000 >> Error detected...
2488115000 >> Error detected...
2488990000 >> Error detected...
2490415000 >> Error detected...
2492140000 >> Error detected...
2493540000 >> Error detected...
2494190000 >> Error detected...
2496915000 >> Error detected...
2497590000 >> Error detected...
2498090000 >> Error detected...
2498290000 >> Error detected...
2498990000 >> Error detected...
2499865000 >> Error detected...
2501115000 >> Error detected...
2502840000 >> Error detected...
2504390000 >> Error detected...
2505040000 >> Error detected...
2507590000 >> Error detected...
2508265000 >> Error detected...
2508765000 >> Error detected...
2508965000 >> Error detected...
2509840000 >> Error detected...
2510165000 >> Error detected...
2511315000 >> Error detected...
2513840000 >> Error detected...
2514515000 >> Error detected...
2515015000 >> Error detected...
2515215000 >> Error detected...
2516090000 >> Error detected...
2516765000 >> Error detected...
2517090000 >> Error detected...
2517815000 >> Error detected...
2518465000 >> Error detected...
2519340000 >> Error detected...
2520590000 >> Error detected...
2522490000 >> Error detected...
2523890000 >> Error detected...
2524540000 >> Error detected...
2527090000 >> Error detected...
2527765000 >> Error detected...
2528265000 >> Error detected...
2528465000 >> Error detected...
2529340000 >> Error detected...
2530215000 >> Error detected...
2531465000 >> Error detected...
2533190000 >> Error detected...
2534590000 >> Error detected...
2535415000 >> Error detected...
2537965000 >> Error detected...
2538640000 >> Error detected...
2539140000 >> Error detected...
2539340000 >> Error detected...
2540040000 >> Error detected...
2540915000 >> Error detected...
2542340000 >> Error detected...
2544065000 >> Error detected...
2545465000 >> Error detected...
2546115000 >> Error detected...
2548840000 >> Error detected...
2549515000 >> Error detected...
2550015000 >> Error detected...
2550215000 >> Error detected...
2550915000 >> Error detected...
2551790000 >> Error detected...
2553040000 >> Error detected...
2554940000 >> Error detected...
2556340000 >> Error detected...
2556990000 >> Error detected...
2559540000 >> Error detected...
2560215000 >> Error detected...
2560865000 >> Error detected...
2561065000 >> Error detected...
2561765000 >> Error detected...
2562090000 >> Error detected...
2563240000 >> Error detected...
2565765000 >> Error detected...
2566440000 >> Error detected...
2566940000 >> Error detected...
2567315000 >> Error detected...
2568015000 >> Error detected...
2568690000 >> Error detected...
2569015000 >> Error detected...
2569740000 >> Error detected...
2570390000 >> Error detected...
2571265000 >> Error detected...
2572515000 >> Error detected...
2574415000 >> Error detected...
2575815000 >> Error detected...
2576465000 >> Error detected...
2579015000 >> Error detected...
2579690000 >> Error detected...
2580365000 >> Error detected...
2580565000 >> Error detected...
2581265000 >> Error detected...
2582140000 >> Error detected...
2583390000 >> Error detected...
2585115000 >> Error detected...
2586690000 >> Error detected...
2587340000 >> Error detected...
2589890000 >> Error detected...
2590565000 >> Error detected...
2591065000 >> Error detected...
2591265000 >> Error detected...
2591965000 >> Error detected...
2592990000 >> Error detected...
2594240000 >> Error detected...
2595965000 >> Error detected...
2597365000 >> Error detected...
2598015000 >> Error detected...
2600740000 >> Error detected...
2601415000 >> Error detected...
2601915000 >> Error detected...
2602115000 >> Error detected...
2602815000 >> Error detected...
2603690000 >> Error detected...
2604940000 >> Error detected...
2606840000 >> Error detected...
2608240000 >> Error detected...
2608890000 >> Error detected...
2611440000 >> Error detected...
2612290000 >> Error detected...
2612790000 >> Error detected...
2612990000 >> Error detected...
2613690000 >> Error detected...
2614015000 >> Error detected...
2615165000 >> Error detected...
2617690000 >> Error detected...
2618540000 >> Error detected...
2619040000 >> Error detected...
2619240000 >> Error detected...
2619940000 >> Error detected...
2620615000 >> Error detected...
2620940000 >> Error detected...
2621665000 >> Error detected...
2622315000 >> Error detected...
2623190000 >> Error detected...
2624440000 >> Error detected...
2626340000 >> Error detected...
2627740000 >> Error detected...
2628390000 >> Error detected...
2631115000 >> Error detected...
2631790000 >> Error detected...
2632290000 >> Error detected...
2632490000 >> Error detected...
2633190000 >> Error detected...
2634065000 >> Error detected...
2635315000 >> Error detected...
2637040000 >> Error detected...
2638615000 >> Error detected...
2639265000 >> Error detected...
2641815000 >> Error detected...
2642490000 >> Error detected...
2642990000 >> Error detected...
2643190000 >> Error detected...
2644065000 >> Error detected...
2644940000 >> Error detected...
2646190000 >> Error detected...
2647915000 >> Error detected...
2649315000 >> Error detected...
2649965000 >> Error detected...
2652690000 >> Error detected...
2653365000 >> Error detected...
2653865000 >> Error detected...
2654065000 >> Error detected...
2654765000 >> Error detected...
2655640000 >> Error detected...
2657065000 >> Error detected...
2658790000 >> Error detected...
2660190000 >> Error detected...
2660840000 >> Error detected...
2663540000 >> Error detected...
2664215000 >> Error detected...
2664715000 >> Error detected...
2664915000 >> Error detected...
2665615000 >> Error detected...
2665940000 >> Error detected...
2667090000 >> Error detected...
2669790000 >> Error detected...
2670465000 >> Error detected...
2670965000 >> Error detected...
2671165000 >> Error detected...
2671865000 >> Error detected...
2672540000 >> Error detected...
2672865000 >> Error detected...
2673590000 >> Error detected...
2674240000 >> Error detected...
2675115000 >> Error detected...
2676540000 >> Error detected...
2678265000 >> Error detected...
2679665000 >> Error detected...
2680315000 >> Error detected...
2683040000 >> Error detected...
2683715000 >> Error detected...
2684215000 >> Error detected...
2684415000 >> Error detected...
2685115000 >> Error detected...
2685990000 >> Error detected...
2687240000 >> Error detected...
2689140000 >> Error detected...
2690540000 >> Error detected...
2691190000 >> Error detected...
2693740000 >> Error detected...
2694415000 >> Error detected...
2694915000 >> Error detected...
2695290000 >> Error detected...
2695990000 >> Error detected...
2696865000 >> Error detected...
2698115000 >> Error detected...
2699840000 >> Error detected...
2701240000 >> Error detected...
2702065000 >> Error detected...
2704615000 >> Error detected...
2705290000 >> Error detected...
2705790000 >> Error detected...
2705990000 >> Error detected...
2706690000 >> Error detected...
